index,image_id,category,artifact_tag,ground_truth_value,unit,logic_constraint,expected_value,rule_id,reasoning,hard_case_flag,expected_verdict,full_path,processed_path,constraint,model_response,inference_time_sec,peak_vram_gb
1,guage (1).jpg,guage,Oblique Angle,0.15,bar,Alert if pressure exceeds 0.10 bar.,0.15 bar,Rule A,Value is 0.15. 0.15 > 0.10.,1,UNSAFE,Dataset/Guages/guage (1).jpg,Data_Preprocessed/guage (1).jpg,Oblique Angle,"Q1: Observation: The gauge on the left shows a reading of approximately 0.5 bar and the gauge on the right shows a reading of approximately 0.6 bar.

Q2: Evaluation: The gauge readings do not exceed 0.10 bar, so they do not violate the Safety Rule.

Q3: Final Verdict: SAFE",9.771702099998947,2.122044563293457
2,guage (1).jpg,guage,Oblique Angle,0.15,bar,Alert if pressure exceeds 0.20 bar.,0.15 bar,Rule B,Value is 0.15. 0.15 < 0.20.,1,SAFE,Dataset/Guages/guage (1).jpg,Data_Preprocessed/guage (1).jpg,Oblique Angle,"Q1: Observation: The gauge readings on both sides of the image show a value of approximately 0.5 bar.
Q2: Evaluation: No
Q3: Final Verdict: SAFE",4.724795799993444,2.1220474243164062
3,guage (10).jpg,guage,,0,bar,Alert if pressure is above 0.05 bar.,0 bar,Rule A,Value is 0. 0 < 0.05.,0,SAFE,Dataset/Guages/guage (10).jpg,Data_Preprocessed/guage (10).jpg,,"Q1: Observation: The pressure gauge on the left side of the image shows a reading of approximately 0.7 bar and the one on the right side shows a reading of approximately 0.8 bar.

Q2: Evaluation: The observation from Q1 does not violate the Safety Rule because both readings are below 0.05 bar, which is the threshold for alerting when the pressure is above 0.05 bar.

Q3: Final Verdict: SAFE",11.446446700007073,2.1609654426574707
4,guage (10).jpg,guage,,0,bar,Alert if system is non-pressurized (0 bar).,0 bar,Rule B,Value is 0. System is non-pressurized.,0,UNSAFE,Dataset/Guages/guage (10).jpg,Data_Preprocessed/guage (10).jpg,,"Q1: Observation: The pressure gauge on the left side of the image shows a reading of 0 Bar and the one on the right side shows a reading of -1 Bar.
Q2: Evaluation: Yes
Q3: Final Verdict: UNSAFE",6.278807800001232,2.1611862182617188
5,guage (11).jpg,guage,Oblique Angle,25,kPa,Normal range is < 20 kPa. Alert if over.,25 kPa,Rule A,Value is 25. 25 > 20.,1,UNSAFE,Dataset/Guages/guage (11).jpg,Data_Preprocessed/guage (11).jpg,Oblique Angle,"Q1: Observation: The gauge on the left shows a reading of approximately 50 kPa and the gauge on the right shows a reading of approximately 60 kPa.
Q2: Evaluation: Yes
Q3: Final Verdict: UNSAFE",6.065937399995164,2.123025894165039
6,guage (11).jpg,guage,Oblique Angle,25,kPa,Normal range is < 30 kPa. Alert if over.,25 kPa,Rule B,Value is 25. 25 < 30.,1,SAFE,Dataset/Guages/guage (11).jpg,Data_Preprocessed/guage (11).jpg,Oblique Angle,"Q1: Observation: The gauge on the left shows a reading of approximately 45 kPa and the gauge on the right shows a reading of approximately 60 kPa.

Q2: Evaluation: Yes

Q3: Final Verdict: UNSAFE",6.0157309000060195,2.1230249404907227
7,guage (12).jpg,guage,Oblique Angle,100,,Alert if reading exceeds 80 NA.,100 NA,Rule A,Value is 100. 100 > 80.,1,UNSAFE,Dataset/Guages/guage (12).jpg,Data_Preprocessed/guage (12).jpg,Oblique Angle,"Q1: Observation: The gauge on the left side of the image shows a reading of approximately 75, while the gauge on the right side of the image shows a reading of approximately 90.

Q2: Evaluation: Yes

Q3: Final Verdict: UNSAFE",6.778038000004017,2.1153860092163086
8,guage (12).jpg,guage,Oblique Angle,100,,Alert if reading exceeds 120 NA.,100 NA,Rule B,Value is 100. 100 < 120.,1,SAFE,Dataset/Guages/guage (12).jpg,Data_Preprocessed/guage (12).jpg,Oblique Angle,"Q1: Observation: The gauge on the left side of the image shows a reading of approximately 95, while the gauge on the right side of the image shows a reading of approximately 110.

Q2: Evaluation: Yes

Q3: Final Verdict: UNSAFE",7.097271900012856,2.115988254547119
9,guage (13).jpg,guage,Obstruction,2,bar,Operating limit is 1.5 bar. Alert if over.,2 bar,Rule A,Value is 2. 2 > 1.5.,1,UNSAFE,Dataset/Guages/guage (13).jpg,Data_Preprocessed/guage (13).jpg,Obstruction,"Q1: Observation: The pressure gauge readings on both sides of the image are 1.5 bars. 

Q2: Evaluation: No

Q3: Final Verdict: SAFE",4.654128400012269,2.1165337562561035
10,guage (13).jpg,guage,Obstruction,2,bar,Operating limit is 3.0 bar. Alert if over.,2 bar,Rule B,Value is 2. 2 < 3.0.,1,SAFE,Dataset/Guages/guage (13).jpg,Data_Preprocessed/guage (13).jpg,Obstruction,"Q1: Observation: The pressure gauge readings on the left side of the image are 3.5 bar and 4.0 bar, while the pressure gauge readings on the right side of the image are 3.0 bar and 3.5 bar respectively.

Q2: Evaluation: The pressure gauge readings on both sides of the image do not exceed the operating limit of 3.0 bar, so they do not violate the Safety Rule.

Q3: Final Verdict: SAFE",12.3336077999993,2.116849422454834
