index,image_id,category,artifact_tag,ground_truth_value,unit,logic_constraint,expected_value,rule_id,reasoning,hard_case_flag,expected_verdict,full_path,processed_path,constraint,model_response,model_verdict,model_reasoning
    1, guage (1).jpg             , guage   , Oblique Angle                , 0.15                 , bar       , Alert if pressure exceeds 0.10 bar.                                                      , 0.15 bar                , Rule A , Value is 0.15. 0.15 > 0.10.                      ,              1, UNSAFE          , Dataset/Guages/guage (1).jpg                         , Data_Preprocessed/guage (1).jpg             , Oblique Angle                ," ""Reasoning: 0.6 bar is greater than 0.5 bar. Therefore, it violates the given safety constraint.                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Final Verdict: SAFE.""",SAFE,"""Reasoning: 0.6 bar is greater than 0.5 bar. Therefore, it violates the given safety constraint."
    2, guage (1).jpg             , guage   , Oblique Angle                , 0.15                 , bar       , Alert if pressure exceeds 0.20 bar.                                                      , 0.15 bar                , Rule B , Value is 0.15. 0.15 < 0.20.                      ,              1, SAFE            , Dataset/Guages/guage (1).jpg                         , Data_Preprocessed/guage (1).jpg             , Oblique Angle                ," ""Reasoning: 0.6 bar is greater than 0.20 bar.                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Final Verdict: SAFE.""",SAFE,"""Reasoning: 0.6 bar is greater than 0.20 bar."
    3, guage (10).jpg            , guage   ,                              , 0                    , bar       , Alert if pressure is above 0.05 bar.                                                     , 0 bar                   , Rule A , Value is 0. 0 < 0.05.                            ,              0, SAFE            , Dataset/Guages/guage (10).jpg                        , Data_Preprocessed/guage (10).jpg            ,                              ," ""Reasoning: 0.6 bar is greater than 0.5 bar.                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Final Verdict: SAFE.""",SAFE,"""Reasoning: 0.6 bar is greater than 0.5 bar."
    4, guage (10).jpg            , guage   ,                              , 0                    , bar       , Alert if system is non-pressurized (0 bar).                                              , 0 bar                   , Rule B , Value is 0. System is non-pressurized.           ,              0, UNSAFE          , Dataset/Guages/guage (10).jpg                        , Data_Preprocessed/guage (10).jpg            ,                              ," ""Reasoning: 0.6 bar is greater than 0.5 bar. Therefore, it violates the constraint.                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Final Verdict: SAFE.""",SAFE,"""Reasoning: 0.6 bar is greater than 0.5 bar. Therefore, it violates the constraint."
    5, guage (11).jpg            , guage   , Oblique Angle                , 25                   , kPa       , Normal range is < 20 kPa. Alert if over.                                                 , 25 kPa                  , Rule A , Value is 25. 25 > 20.                            ,              1, UNSAFE          , Dataset/Guages/guage (11).jpg                        , Data_Preprocessed/guage (11).jpg            , Oblique Angle                , Reasoning: 0.6 is greater than 0.5. 0.6 is not within the normal range for pressure.,NO_VERDICT,Reasoning: 0.6 is greater than 0.5. 0.6 is not within the normal range for pressure.
    6, guage (11).jpg            , guage   , Oblique Angle                , 25                   , kPa       , Normal range is < 30 kPa. Alert if over.                                                 , 25 kPa                  , Rule B , Value is 25. 25 < 30.                            ,              1, SAFE            , Dataset/Guages/guage (11).jpg                        , Data_Preprocessed/guage (11).jpg            , Oblique Angle                , Reasoning: 0.6 is not within the normal range.,NO_VERDICT,Reasoning: 0.6 is not within the normal range.
    7, guage (12).jpg            , guage   , Oblique Angle                , 100                  ,           , Alert if reading exceeds 80 NA.                                                          , 100 NA                  , Rule A , Value is 100. 100 > 80.                          ,              1, UNSAFE          , Dataset/Guages/guage (12).jpg                        , Data_Preprocessed/guage (12).jpg            , Oblique Angle                , Reasoning: 0.6 is greater than 0.5. 0.6 is not above 80. 0.8 is below 80. 0.8 is also not above 80. 0.8 is not above 80. 0.8 is not above 80. 0.8 is not above 80. 0.8 is not above 80. 0.8 is not above 80. 0.8 is not above 80. 0.8 is not above 80. 0.8 is not above,NO_VERDICT,Reasoning: 0.6 is greater than 0.5. 0.6 is not above 80. 0.8 is below 80. 0.8 is also not above 80. 0.8 is not above 80. 0.8 is not above 80. 0.8 is not above 80. 0.8 is not above 80. 0.8 is not above 80. 0.8 is not above 80. 0.8 is not above 80. 0.8 is not above
    8, guage (12).jpg            , guage   , Oblique Angle                , 100                  ,           , Alert if reading exceeds 120 NA.                                                         , 100 NA                  , Rule B , Value is 100. 100 < 120.                         ,              1, SAFE            , Dataset/Guages/guage (12).jpg                        , Data_Preprocessed/guage (12).jpg            , Oblique Angle                , Reasoning: 0.6 is greater than 120. 0.6 is not below 120. 0.6 is above 120. 0.6 is not below 120. 0.6 is not below 120. 0.6 is not below 120. 0.6 is not below 120. 0.6 is not below 120. 0.6 is not below 120. 0.6 is not below 120. 0.6 is not below 12,NO_VERDICT,Reasoning: 0.6 is greater than 120. 0.6 is not below 120. 0.6 is above 120. 0.6 is not below 120. 0.6 is not below 120. 0.6 is not below 120. 0.6 is not below 120. 0.6 is not below 120. 0.6 is not below 120. 0.6 is not below 120. 0.6 is not below 12
    9, guage (13).jpg            , guage   , Obstruction                  , 2                    , bar       , Operating limit is 1.5 bar. Alert if over.                                               , 2 bar                   , Rule A , Value is 2. 2 > 1.5.                             ,              1, UNSAFE          , Dataset/Guages/guage (13).jpg                        , Data_Preprocessed/guage (13).jpg            , Obstruction                  ," ""Reasoning: 1.5 bar is above the operating limit. 2. Over 1.5 bar is not safe. 3. So, the final verdict is UNSAFE.""",UNSAFE,"""Reasoning: 1.5 bar is above the operating limit. 2. Over 1.5 bar is not safe. 3. So, the"
   10, guage (13).jpg            , guage   , Obstruction                  , 2                    , bar       , Operating limit is 3.0 bar. Alert if over.                                               , 2 bar                   , Rule B , Value is 2. 2 < 3.0.                             ,              1, SAFE            , Dataset/Guages/guage (13).jpg                        , Data_Preprocessed/guage (13).jpg            , Obstruction                  ," ""Reasoning: 0.6 bar is above 3.0 bar.                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Final Verdict: UNSAFE.""",UNSAFE,"""Reasoning: 0.6 bar is above 3.0 bar."
