index,image_id,category,artifact_tag,ground_truth_value,unit,logic_constraint,expected_value,rule_id,reasoning,hard_case_flag,expected_verdict,full_path,processed_path,constraint,model_response,model_verdict,model_reasoning
1,guage (1).jpg,guage,Oblique Angle,0.15,bar,Alert if pressure exceeds 0.10 bar.,0.15 bar,Rule A,Value is 0.15. 0.15 > 0.10.,1,UNSAFE,Dataset/Guages/guage (1).jpg,Data_Preprocessed/guage (1).jpg,Oblique Angle,STEP 1 - OBSERVATION: 0.10 bar STEP 2 - RULE APPLICATION: The pressure exceeds the safe limit of 0.10 bar. STEP 3 - VERDICT: SAFE,SAFE,STEP 1 - OBSERVATION: 0.10 bar STEP 2 - RULE APPLICATION: The pressure exceeds the safe limit of 0.10 bar. STEP 3 -
2,guage (1).jpg,guage,Oblique Angle,0.15,bar,Alert if pressure exceeds 0.20 bar.,0.15 bar,Rule B,Value is 0.15. 0.15 < 0.20.,1,SAFE,Dataset/Guages/guage (1).jpg,Data_Preprocessed/guage (1).jpg,Oblique Angle,"STEP 1 - OBSERVATION: 0.20 bar STEP 2 - RULE APPLICATION: If pressure exceeds 0.20 bar, alert. STEP 3 - VERDICT: SAFE.",SAFE,"STEP 1 - OBSERVATION: 0.20 bar STEP 2 - RULE APPLICATION: If pressure exceeds 0.20 bar, alert. STEP 3 -"
3,guage (10).jpg,guage,,0,bar,Alert if pressure is above 0.05 bar.,0 bar,Rule A,Value is 0. 0 < 0.05.,0,SAFE,Dataset/Guages/guage (10).jpg,Data_Preprocessed/guage (10).jpg,,"STEP 1 - OBSERVATION: 0.05 bar STEP 2 - RULE APPLICATION: The pressure is above 0.05 bar, so it's UNSAFE. STEP 3 - VERDICT: SAFE",SAFE,"STEP 1 - OBSERVATION: 0.05 bar STEP 2 - RULE APPLICATION: The pressure is above 0.05 bar, so it's UNSAFE. STEP 3 -"
4,guage (10).jpg,guage,,0,bar,Alert if system is non-pressurized (0 bar).,0 bar,Rule B,Value is 0. System is non-pressurized.,0,UNSAFE,Dataset/Guages/guage (10).jpg,Data_Preprocessed/guage (10).jpg,,"STEP 1 - OBSERVATION: 0 Bar STEP 2 - RULE APPLICATION: If the system is non-pressurized (0 bar), then the observation from Step 1 satisfies the rule. STEP 3 - VERDICT: SAFE",SAFE,"STEP 1 - OBSERVATION: 0 Bar STEP 2 - RULE APPLICATION: If the system is non-pressurized (0 bar), then the observation from Step 1 satisfies the rule. STEP 3 -"
5,guage (11).jpg,guage,Oblique Angle,25,kPa,Normal range is < 20 kPa. Alert if over.,25 kPa,Rule A,Value is 25. 25 > 20.,1,UNSAFE,Dataset/Guages/guage (11).jpg,Data_Preprocessed/guage (11).jpg,Oblique Angle,"STEP 1 - OBSERVATION: 20 kPa STEP 2 - RULE APPLICATION: The normal range is < 20 kPa. So, the observation from Step 1 does not satisfy this rule. STEP 3 - VERDICT: SAFE",SAFE,"STEP 1 - OBSERVATION: 20 kPa STEP 2 - RULE APPLICATION: The normal range is < 20 kPa. So, the observation from Step 1 does not satisfy this rule. STEP 3 -"
6,guage (11).jpg,guage,Oblique Angle,25,kPa,Normal range is < 30 kPa. Alert if over.,25 kPa,Rule B,Value is 25. 25 < 30.,1,SAFE,Dataset/Guages/guage (11).jpg,Data_Preprocessed/guage (11).jpg,Oblique Angle,"STEP 1 - OBSERVATION: 30 kPa STEP 2 - RULE APPLICATION: The normal range is < 30 kPa. So, the observation from Step 1 does not satisfy the rule. STEP 3 - VERDICT: SAFE",SAFE,"STEP 1 - OBSERVATION: 30 kPa STEP 2 - RULE APPLICATION: The normal range is < 30 kPa. So, the observation from Step 1 does not satisfy the rule. STEP 3 -"
7,guage (12).jpg,guage,Oblique Angle,100,,Alert if reading exceeds 80 NA.,100 NA,Rule A,Value is 100. 100 > 80.,1,UNSAFE,Dataset/Guages/guage (12).jpg,Data_Preprocessed/guage (12).jpg,Oblique Angle,"STEP 1 - OBSERVATION: 85 STEP 2 - RULE APPLICATION: If reading exceeds 80 NA, alert. STEP 3 - VERDICT: SAFE Final Verdict: SAFE",SAFE,"STEP 1 - OBSERVATION: 85 STEP 2 - RULE APPLICATION: If reading exceeds 80 NA, alert. STEP 3 -"
8,guage (12).jpg,guage,Oblique Angle,100,,Alert if reading exceeds 120 NA.,100 NA,Rule B,Value is 100. 100 < 120.,1,SAFE,Dataset/Guages/guage (12).jpg,Data_Preprocessed/guage (12).jpg,Oblique Angle,STEP 1 - OBSERVATION: 125 STEP 2 - RULE APPLICATION: The safety rule is: Alert if reading exceeds 120 NA. Show whether the observation from Step 1 satisfies this rule.  STEP 3 - VERDICT: Final Verdict: SAFE Final Verdict: UNSAFE,SAFE,STEP 1 - OBSERVATION: 125 STEP 2 - RULE APPLICATION: The safety rule is: Alert if reading exceeds 120 NA. Show whether the observation from Step 1 satisfies this rule.  STEP 3 -
9,guage (13).jpg,guage,Obstruction,2,bar,Operating limit is 1.5 bar. Alert if over.,2 bar,Rule A,Value is 2. 2 > 1.5.,1,UNSAFE,Dataset/Guages/guage (13).jpg,Data_Preprocessed/guage (13).jpg,Obstruction,STEP 1 - OBSERVATION: 1.5 bar STEP 2 - RULE APPLICATION: The safety rule is: Operating limit is 1.5 bar. Alert if over. Show whether the observation from Step 1 satisfies this rule. STEP 3 - VERDICT: Final Verdict: SAFE,SAFE,STEP 1 - OBSERVATION: 1.5 bar STEP 2 - RULE APPLICATION: The safety rule is: Operating limit is 1.5 bar. Alert if over. Show whether the observation from Step 1 satisfies this rule. STEP 3 -
10,guage (13).jpg,guage,Obstruction,2,bar,Operating limit is 3.0 bar. Alert if over.,2 bar,Rule B,Value is 2. 2 < 3.0.,1,SAFE,Dataset/Guages/guage (13).jpg,Data_Preprocessed/guage (13).jpg,Obstruction,STEP 1 - OBSERVATION: 3.0 bar STEP 2 - RULE APPLICATION: Operating limit is 3.0 bar. Alert if over. Show whether the observation from Step 1 satisfies this rule.  STEP 3 - VERDICT: Final Verdict: SAFE,SAFE,STEP 1 - OBSERVATION: 3.0 bar STEP 2 - RULE APPLICATION: Operating limit is 3.0 bar. Alert if over. Show whether the observation from Step 1 satisfies this rule.  STEP 3 -
