index,image_id,category,artifact_tag,ground_truth_value,unit,logic_constraint,expected_value,rule_id,reasoning,hard_case_flag,expected_verdict,full_path,processed_path,constraint,model_response,inference_time_sec,peak_vram_gb
1,guage (1).jpg,guage,Oblique Angle,0.15,bar,Alert if pressure exceeds 0.10 bar.,0.15 bar,Rule A,Value is 0.15. 0.15 > 0.10.,1,UNSAFE,Dataset/Guages/guage (1).jpg,Data_Preprocessed/guage (1).jpg,Oblique Angle,"Q1: Observation: The exact numeric reading or visible physical condition shown in the image is 0.5 bar.
Q2: Evaluation: Yes, the observation from Q1 violates the Safety Rule, as the pressure reading is above 0.10 bar.
Q3: Final Verdict: UNSAFE",11.453129899993655,4.509705543518066
2,guage (1).jpg,guage,Oblique Angle,0.15,bar,Alert if pressure exceeds 0.20 bar.,0.15 bar,Rule B,Value is 0.15. 0.15 < 0.20.,1,SAFE,Dataset/Guages/guage (1).jpg,Data_Preprocessed/guage (1).jpg,Oblique Angle,"Q1: Observation: The exact numeric reading or visible physical condition shown in the image is 0.5 bar.
Q2: Evaluation: Yes, the observation from Q1 violates the Safety Rule, as pressure should not exceed 0.20 bar.
Q3: Final Verdict: UNSAFE",9.925357999993139,4.509705543518066
3,guage (10).jpg,guage,,0,bar,Alert if pressure is above 0.05 bar.,0 bar,Rule A,Value is 0. 0 < 0.05.,0,SAFE,Dataset/Guages/guage (10).jpg,Data_Preprocessed/guage (10).jpg,,"Q1: Observation: The exact numeric reading or visible physical condition shown in the image is 10.5 bar.
Q2: Evaluation: Yes, the observation from Q1 violates the Safety Rule, as the pressure is above 0.05 bar.
Q3: Final Verdict: UNSAFE",10.032856000005268,4.513497829437256
4,guage (10).jpg,guage,,0,bar,Alert if system is non-pressurized (0 bar).,0 bar,Rule B,Value is 0. System is non-pressurized.,0,UNSAFE,Dataset/Guages/guage (10).jpg,Data_Preprocessed/guage (10).jpg,,"Q1: Observation: The exact numeric reading or visible physical condition shown in the image is 0.5 bar.
Q2: Evaluation: Yes, the observation from Q1 violates the Safety Rule, as the system is non-pressurized (0 bar).
Q3: Final Verdict: UNSAFE",11.353952300007222,4.521076679229736
5,guage (11).jpg,guage,Oblique Angle,25,kPa,Normal range is < 20 kPa. Alert if over.,25 kPa,Rule A,Value is 25. 25 > 20.,1,UNSAFE,Dataset/Guages/guage (11).jpg,Data_Preprocessed/guage (11).jpg,Oblique Angle,"Q1: Observation: The exact numeric reading or visible physical condition shown in the image is not provided.
Q2: Evaluation: No, the observation from Q1 does not violate the Safety Rule.
Q3: Final Verdict: SAFE",8.8015876999998,4.521076679229736
6,guage (11).jpg,guage,Oblique Angle,25,kPa,Normal range is < 30 kPa. Alert if over.,25 kPa,Rule B,Value is 25. 25 < 30.,1,SAFE,Dataset/Guages/guage (11).jpg,Data_Preprocessed/guage (11).jpg,Oblique Angle,"Q1: Observation: The exact numeric reading or visible physical condition shown in the image is not provided.
Q2: Evaluation: No, the observation from Q1 does not violate the Safety Rule.
Q3: Final Verdict: SAFE",8.109113099999377,4.521076679229736
7,guage (12).jpg,guage,Oblique Angle,100,,Alert if reading exceeds 80 NA.,100 NA,Rule A,Value is 100. 100 > 80.,1,UNSAFE,Dataset/Guages/guage (12).jpg,Data_Preprocessed/guage (12).jpg,Oblique Angle,"Q1: Observation: The exact numeric reading or visible physical condition shown in the image is [insert reading or condition here].
Q2: Evaluation: Yes, the observation from Q1 violates the Safety Rule, as the reading exceeds 80 NA.
Q3: Final Verdict: UNSAFE",10.220344699991983,4.50006103515625
8,guage (12).jpg,guage,Oblique Angle,100,,Alert if reading exceeds 120 NA.,100 NA,Rule B,Value is 100. 100 < 120.,1,SAFE,Dataset/Guages/guage (12).jpg,Data_Preprocessed/guage (12).jpg,Oblique Angle,"Q1: Observation: The exact numeric reading or visible physical condition shown in the image is [insert reading or condition here].
Q2: Evaluation: Yes, the observation from Q1 violates the Safety Rule, as the reading exceeds 120 NA.
Q3: Final Verdict: UNSAFE",10.142739999995683,4.505260944366455
9,guage (13).jpg,guage,Obstruction,2,bar,Operating limit is 1.5 bar. Alert if over.,2 bar,Rule A,Value is 2. 2 > 1.5.,1,UNSAFE,Dataset/Guages/guage (13).jpg,Data_Preprocessed/guage (13).jpg,Obstruction,"Q1: Observation: The exact numeric reading or visible physical condition shown in the image is 1.5 bar.
Q2: Evaluation: Yes, the observation from Q1 violates the Safety Rule, as the operating limit is 1.5 bar, and the current reading is 1.5 bar.
Q3: Final Verdict: UNSAFE",11.532131999992998,4.517056941986084
10,guage (13).jpg,guage,Obstruction,2,bar,Operating limit is 3.0 bar. Alert if over.,2 bar,Rule B,Value is 2. 2 < 3.0.,1,SAFE,Dataset/Guages/guage (13).jpg,Data_Preprocessed/guage (13).jpg,Obstruction,"Q1: Observation: The exact numeric reading or visible physical condition shown in the image is 3.1 bar.
Q2: Evaluation: Yes, the observation from Q1 violates the Safety Rule, as the operating limit is 3.0 bar, and the current reading is 3.1 bar.
Q3: Final Verdict: UNSAFE",11.950722199995653,4.517056941986084
